GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hygieia SCM Subversion Collector,com.capitalone.dashboard,Application,8,0,0,0,3,0,2,0,2,0
Hygieia SCM Subversion Collector,com.capitalone.dashboard.collector,SubversionSettings,0,31,0,0,0,13,0,9,0,9
Hygieia SCM Subversion Collector,com.capitalone.dashboard.collector,SubversionCollectorTask,3,315,10,20,0,74,10,15,0,10
Hygieia SCM Subversion Collector,com.capitalone.dashboard.collector,DefaultSubversionClient,34,108,0,2,7,26,1,6,1,5
Hygieia SCM Subversion Collector,com.capitalone.dashboard.model,SubversionRepo,4,60,3,5,1,14,3,8,0,7
